lValue,zero,t200ms,t500ms,t1s,t2s,t4s
2,-3.1699250014423126,-3.113709803264772,-3.034584913842515,-2.9147517656274236,-2.7110390420340345,-2.402511744635246
3,-4.754887502163469,-4.668422693969198,-4.539874063136894,-4.331770971518769,-3.949071838729326,-3.3284971969669392
4,-6.339850002884625,-6.224541771462829,-6.05219160618405,-5.7683454392379,-5.226723576366827,-4.304448025948202
5,-7.924812503605781,-7.780923125212071,-7.566485209109086,-7.213041903033751,-6.528110169333239,-5.316163344666277
6,-9.509775004326938,-9.337494972273001,-9.082003398178205,-8.662777626724273,-7.846375915903688,-6.355461411117895
7,-11.094737505048094,-10.894248207436375,-10.59857509946348,-10.116392853460972,-9.177455290342206,-7.416357044364338
8,-12.67970000576925,-12.451177855681415,-12.116120131538135,-11.573277238657548,-10.518565185526327,-8.494378204048195
9,-14.264662506490406,-14.008279367360801,-13.634576820542236,-13.03301476344977,-11.867667512180276,-9.586167874393093
10,-15.849625007211563,-15.565548367143583,-15.153890329597703,-14.49527901487194,-13.22321699059445,-10.689191994738609
11,-17.43458750793272,-17.1229806305237,-16.674010402261555,-15.959797327567887,-14.584017120730998,-11.801521479520938
12,-19.019550008653876,-18.68057207603184,-18.194890653348374,-17.426335688839163,-15.949127813997528,-12.921671629637473
13,-20.60451250937503,-20.23831875886146,-19.716488152123716,-18.894690634384563,-17.317802071158194,-14.048485147094413
14,-22.18947501009619,-21.796216864910136,-21.238763088799132,-20.36468391791351,-18.689440792406252,-15.181047386009348
15,-23.774437510817343,-23.35426270514677,-22.761678485160704,-21.836158547007102,-20.063559667678252,-16.318625014645868
16,-25.3594000115385,-24.912452710279457,-24.285199938761963,-23.3089756476012,-21.439764454046756,-17.460621519523436
17,-26.944362512259655,-26.470783425704663,-25.80929539546957,-24.783011908720837,-22.817732240007828,-18.60654478078547
18,-28.529325012980813,-28.02925150672007,-27.333934946560834,-26.258157466846907,-24.197197070813072,-19.755983298463384
19,-30.114287513701967,-29.587853713984686,-28.8590906472391,-27.7343141367906,-25.577938801657492,-20.90858863196724
20,-31.699250014423125,-31.14658690921115,-30.384736353904614,-29.211393921367865,-26.959774372130013,-22.064062318622494
21,-33.28421251514428,-32.705448051075976,-31.910847577899403,-30.689317748180027,-28.34255091817163,-23.222146036732997
22,-34.86917501586544,-34.26443419133478,-33.43740135376246,-32.168014393011454,-29.726140293121844,-24.38261413243068
23,-36.45413751658659,-35.823542471130104,-34.9643761202995,-33.6474195576583,-31.110434679561386,-25.545267879951933
24,-38.03910001730775,-37.382770117480725,-36.491751612998385,-35.12747507634511,-32.495343052854416,-26.709931022380307
25,-39.62406251802891,-38.94211443994154,-38.019508766514136,-36.60812822981622,-33.88078831495668,-27.876446265855186
26,-41.20902501875006,-40.50157282742446,-39.54762962611195,-38.089331150063764,-35.26670495951713,-29.044672489935838
27,-42.793987519471216,-42.06114274517086,-41.0760972670972,-39.571040301727805,-36.65303716090057,-30.21448250089536